Date,Return,STD,ticker,COV1,COV2
2006/4/30,0.012632247,0.00548135,SPY,2.38E-06,8.72E-06
2006/5/31,-0.030121696,0.009133336,SPY,8.10E-06,-1.56E-05
2006/6/30,0.002608776,0.009493056,SPY,3.70E-06,6.73E-05
2006/7/31,0.004478208,0.008214219,SPY,4.21E-06,1.55E-05
2006/8/31,0.021822363,0.004296382,SPY,9.15E-07,-4.57E-06
2006/9/30,0.027001728,0.004746657,SPY,2.89E-07,-4.21E-06
2006/10/31,0.031516282,0.00383752,SPY,1.15E-06,1.44E-05
2006/11/30,0.019885556,0.005568181,SPY,5.49E-07,-1.27E-06
2006/12/31,0.013370841,0.004266229,SPY,-1.63E-06,1.68E-06
2007/1/31,0.015040814,0.00504372,SPY,-7.88E-08,3.45E-05
2007/2/28,-0.019617685,0.010167837,SPY,-5.83E-06,4.95E-05
2007/3/31,0.011589455,0.008688005,SPY,-4.03E-06,2.81E-05
2007/4/30,0.044295506,0.00485797,SPY,-1.71E-06,1.31E-05
2007/5/31,0.033919813,0.005057751,SPY,-1.96E-06,7.22E-06
2007/6/30,-0.014620394,0.00925185,SPY,1.44E-05,8.01E-06
2007/7/31,-0.031310089,0.010828366,SPY,-1.15E-05,6.18E-07
2007/8/31,0.012832573,0.0141698,SPY,-1.88E-05,2.60E-05
2007/9/30,0.038714123,0.009311303,SPY,-4.13E-06,-1.31E-07
2007/10/31,0.013566203,0.00877798,SPY,-1.93E-05,2.46E-05
2007/11/30,-0.038731993,0.016770768,SPY,-3.65E-05,2.21E-05
2007/12/31,-0.011260801,0.011330062,SPY,-1.64E-05,2.30E-05
2008/1/31,-0.060461129,0.014194873,SPY,-1.97E-05,6.80E-06
2008/2/29,-0.025842666,0.011423401,SPY,-2.50E-05,1.70E-05
2008/3/31,-0.008942012,0.01753061,SPY,-4.06E-05,0.000108732
2008/4/30,0.047662094,0.011150557,SPY,-2.25E-05,4.91E-06
2008/5/31,0.015116974,0.009442814,SPY,-9.08E-06,-7.29E-05
2008/6/30,-0.083576274,0.01187633,SPY,-2.63E-05,-7.69E-05
2008/7/31,-0.008985728,0.013834982,SPY,-2.90E-05,-6.42E-05
2008/8/31,0.015453637,0.012377352,SPY,-1.10E-05,-6.47E-05
2008/9/30,-0.094173537,0.030243222,SPY,1.13E-05,0.000416283
2008/10/31,-0.165186634,0.056571608,SPY,0.000298726,0.001214415
2008/11/30,-0.069606812,0.044684155,SPY,-2.82E-06,0.001036387
2008/12/31,0.009796399,0.028963968,SPY,-9.58E-05,0.000341823
2009/1/31,-0.082113862,0.024403517,SPY,1.51E-05,0.000406302
2009/2/28,-0.10744935,0.021702495,SPY,-2.54E-05,0.000221583
2009/3/31,0.083311046,0.03010331,SPY,1.00E-05,0.000413157
2009/4/30,0.099345909,0.018564752,SPY,-2.82E-05,0.000263819
2009/5/31,0.058453711,0.017376229,SPY,1.26E-05,0.000179351
2009/6/30,-0.000655443,0.012529398,SPY,-2.20E-05,0.000163939
2009/7/31,0.074605618,0.012514263,SPY,-2.03E-05,0.000144141
2009/8/31,0.036940211,0.010334071,SPY,-2.22E-05,0.000100399
2009/9/30,0.03545667,0.009538638,SPY,-3.00E-06,6.62E-05
2009/10/31,-0.019224848,0.013354893,SPY,-1.42E-05,0.000150217
2009/11/30,0.061606868,0.009610546,SPY,1.47E-06,7.37E-05
2009/12/31,0.019100923,0.006574071,SPY,-5.87E-06,2.25E-05
2010/1/31,-0.036342483,0.010519622,SPY,-8.06E-06,8.12E-05
2010/2/28,0.031194861,0.011015444,SPY,-7.60E-06,0.000155198
2010/3/31,0.060879421,0.004757163,SPY,1.88E-06,2.13E-05
2010/4/30,0.015469959,0.009489958,SPY,-1.37E-05,5.58E-05
