DateTime,Real Manufacturing and Trade Industries Sales
2006/4/1,-0.009449294
2006/5/1,0.00821813
2006/6/1,-0.002752697
2006/7/1,-0.004340907
2006/8/1,0.00560763
2006/9/1,-0.000181265
2006/10/1,0.00072519
2006/11/1,0.000579732
2006/12/1,0.015995108
2007/1/1,-0.006098855
2007/2/1,0.006000171
2007/3/1,0.001254125
2007/4/1,-0.001724284
2007/5/1,0.006691826
2007/6/1,-0.001137681
2007/7/1,-0.00595847
2007/8/1,0.012551948
2007/9/1,0.000484514
2007/10/1,0.005312664
2007/11/1,-0.00242771
2007/12/1,-0.008145318
2008/1/1,0.005027916
2008/2/1,-0.009557134
2008/3/1,-0.01325331
2008/4/1,0.010190237
2008/5/1,-0.006913119
2008/6/1,-0.001336879
2008/7/1,-0.017244862
2008/8/1,-0.007344173
2008/9/1,-0.024596313
2008/10/1,-0.009318486
2008/11/1,-0.027284998
2008/12/1,-0.005432064
2009/1/1,-0.021201312
2009/2/1,0.006206656
2009/3/1,-0.020633772
2009/4/1,-0.007787618
2009/5/1,0.000430992
2009/6/1,-0.001580872
2009/7/1,0.014770978
2009/8/1,0.000573106
2009/9/1,0.001183433
2009/10/1,0.004922836
2009/11/1,0.007507392
2009/12/1,0.003361173
2010/1/1,-0.002860325
2010/2/1,0.006604268
2010/3/1,0.012679351
2010/4/1,0.008944306
2010/5/1,-0.003130965
2010/6/1,0.009635632
2010/7/1,0.008473584
2010/8/1,0.00050786
2010/9/1,-0.000155246
2010/10/1,0.005162301
2010/11/1,0.002854277
2010/12/1,0.001778305
2011/1/1,0.012256727
2011/2/1,-0.014322787
2011/3/1,0.011454866
2011/4/1,-0.003648079
2011/5/1,-0.007848635
2011/6/1,0.010104876
2011/7/1,0.00453728
2011/8/1,0.007421592
2011/9/1,-0.006496983
2011/10/1,0.012624501
2011/11/1,-0.003617963
2011/12/1,0.00876382
2012/1/1,0.005913254
2012/2/1,0.003601711
2012/3/1,-0.000926031
2012/4/1,0.003261555
2012/5/1,0.0030324
2012/6/1,-0.002787184
2012/7/1,0.001902768
2012/8/1,-0.000890512
2012/9/1,0.001506456
2012/10/1,-0.003864497
2012/11/1,0.018427783
2012/12/1,0.003703502
2013/1/1,0.003103646
2013/2/1,0.004092252
2013/3/1,-0.005383654
